Date,Average Open Price (USD),Average High Price (USD),Average Low Price (USD),Average Close Price (USD)
2014-09-10,474.11666999999994,484.66667,473.8733366666667,476.3000033333333
2014-09-11,477.47304333333335,478.58337666666665,470.0333333333333,475.99666666666667
2014-09-12,476.555,477.925,464.875,473.21500000000003
2014-09-13,473.0166633333333,478.55,470.99666333333334,476.95
2014-09-14,481.7166666666667,483.56,479.2966666666666,480.66
2014-09-15,475.6533366666667,477.80333666666667,467.55593666666664,468.12593666666663
2014-09-16,478.75310999999994,492.26662333333326,463.7833333333333,464.0500033333333
2014-09-17,464.7333366666667,466.52333666666664,446.30667,451.28666999999996
2014-09-18,455.2299966666667,472.0471566666667,406.65333333333336,451.7871566666667
2014-09-19,417.8066666666667,419.12999999999994,381.53207,389.02207
2014-09-20,419.6686666666667,441.682,389.18333666666666,401.7833366666666
2014-09-21,423.42,425.34999999999997,389.7333366666667,395.08333666666664
2014-09-22,408.6226133333333,413.52,361.75333333333333,400.85633666666666
2014-09-23,407.87999999999994,448.72333000000003,403.0100033333333,429.3700033333334
2014-09-24,429.18333666666666,440.32,413.2554566666667,425.74726000000004
2014-09-25,419.05333666666667,419.8333333333333,400.3333333333333,404.95
2014-09-26,410.615,414.5695,396.765,403.27
2014-09-27,402.75,406.995,395.845,399.51
2014-09-28,414.6504466666667,417.80598333333336,375.4919466666666,380.02
2014-09-29,382.0332733333333,387.67660666666666,367.48848333333336,371.5816366666666
2014-09-30,372.8189,394.36552333333333,371.30223333333333,386.08333666666664
2014-10-01,388.85999999999996,390.9166666666667,381.34999999999997,385.9533333333334
2014-10-02,382.6600166666667,383.77335,370.79667,372.1766733333334
2014-10-03,379.10780666666665,381.05666333333335,355.0333333333333,357.1433333333334
2014-10-04,359.43999,366.48296666666664,322.18395333333336,325.66062
2014-10-05,323.00049333333334,336.86333333333334,277.81521333333336,325.3233333333333
2014-10-06,321.0200033333333,347.44171,299.68,334.09171
2014-10-07,324.71373,337.75200666666666,314.40373,335.82534000000004
2014-10-08,338.6064966666667,360.0,333.62316333333337,358.59
2014-10-09,346.7628266666666,390.412,343.38392999999996,365.88334000000003
2014-10-10,364.90333000000004,378.02333,353.04389999999995,358.6639
2014-10-11,366.17652333333336,371.01999666666666,353.84172000000007,360.14958
2014-10-12,361.4106733333333,379.52333333333337,353.94471,376.7033333333334
2014-10-13,371.89797333333337,398.6766666666667,367.1534033333333,391.98333333333335
2014-10-14,393.6466666666667,414.25999333333334,390.5627433333334,404.1918166666666
2014-10-15,396.5911066666667,400.8430433333333,383.55904000000004,396.0963766666667
2014-10-16,395.96917333333334,397.4625066666667,372.30001,384.12788333333333
2014-10-17,383.5758666666666,385.8558666666667,373.2002233333333,381.6368333333333
2014-10-18,377.7712433333333,394.94397666666663,375.01457666666664,392.1239766666666
2014-10-19,388.445,391.675,384.64,386.89
2014-10-20,388.74392000000006,389.54725333333334,380.68391999999994,384.4772533333333
2014-10-21,384.10174333333333,390.96037,376.06667,386.7441366666667
2014-10-22,386.74037000000004,389.27411333333333,377.0361433333333,383.56844
2014-10-23,378.5933333333333,379.84999999999997,356.7966666666666,360.59985000000006
2014-10-24,360.43188000000004,365.78024,349.44666666666666,362.7860633333333
2014-10-25,359.5100033333333,359.8833366666667,346.1666666666667,351.87057333333337
2014-10-26,351.81666666666666,367.99634999999995,349.51,355.89000000000004
2014-10-27,358.15803999999997,360.60137333333336,353.3333333333333,354.98333333333335
2014-10-28,351.40008000000006,359.28173666666663,350.37008,358.39507
2014-10-29,352.6433366666667,352.75667,333.8466233333333,334.65521666666666
2014-10-30,335.3105566666667,351.1566666666667,333.6766666666667,345.3369466666666
2014-10-31,345.1133333333333,347.4533333333333,338.78666666666663,340.98
2014-11-01,338.5806966666667,339.35115333333334,319.43667,323.9600033333333
2014-11-02,323.8500033333333,327.86614333333335,319.83666999999997,323.59986333333336
2014-11-03,324.56280999999996,331.5594766666666,323.66333333333336,324.68666666666667
2014-11-04,325.00333333333333,331.0233333333333,322.25,327.37333333333333
2014-11-05,330.23556666666667,344.45822333333336,326.00155666666666,334.7115566666667
2014-11-06,341.7716333333333,350.65163333333334,339.92333333333335,348.83
2014-11-07,343.83,350.05,338.1566666666667,343.5795633333334
2014-11-08,341.74535666666674,347.5789366666666,337.08745,346.79227
2014-11-09,345.8502166666667,358.7833333333333,341.5269733333333,358.25666666666666
2014-11-10,358.46638333333334,373.42333333333335,354.1163833333333,363.1333333333334
2014-11-11,366.65333333333336,370.45394000000005,360.70584333333335,369.78222999999997
2014-11-12,376.1427066666667,432.08996,374.9466666666667,422.6606733333333
2014-11-13,426.08736,449.64000000000004,383.0333333333333,418.45000333333337
2014-11-14,414.2833333333333,417.56365000000005,387.65000000000003,398.0156666666667
